OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
1746,1978,3,12,,345.0,6.48,71
1751,2002,3,12,,345.0,6.3,79
1753,1981,3,12,104.65,345.0,8.85,71
1756,1982,3,12,52.2,345.0,6.34,48
1760,1983,3,12,,345.0,6.32,79
1763,1983,3,12,79.27,25.0,13.16,71
1766,1983,3,12,,130.0,10.42,79
1769,1981,3,12,142.49,140.0,10.27,71
1772,1970,3,12,71.76,140.0,15.71,48
1775,1981,3,12,,150.0,10.34,71
1779,1996,3,12,76.74,155.0,10.2,48
1782,1982,3,12,,170.0,10.34,71
1789,1984,3,12,135.58,205.0,16.81,71
1794,1988,3,12,,315.0,10.45,48
1798,1970,3,12,,0.0,10.27,48
1802,1997,3,12,,10.0,9.9,48
1806,1994,3,12,,185.0,10.23,48
1809,1982,3,12,,340.0,41.81,48
1813,1999,3,12,,345.0,6.58,48
1815,1982,3,12,45.83,340.0,20.59,79
1817,1982,3,12,162.16,355.0,6.37,71
1820,1982,6,12,19.05,355.0,6.32,48
1823,2010,3,12,,65.0,6.58,79
1828,1982,3,12,12.48,65.0,6.32,79
1831,1982,3,12,157.75,65.0,6.39,71
1835,1981,3,12,,80.0,46.6,48
1839,1999,3,12,,235.0,33.31,48
1845,1983,3,12,,235.0,9.98,48
1848,2005,3,12,,235.0,10.0,48
1855,2000,3,12,73.4,355.0,10.37,48
1858,1995,3,12,,355.0,10.6,48
1860,1994,3,12,114.73,355.0,15.62,48
1868,2005,3,12,39.63,345.0,34.33,48
1872,1982,3,12,,90.0,22.75,48
1876,1993,3,12,124.57,105.0,6.75,48
1878,1960,3,12,,105.0,6.65,71
1881,1980,3,12,119.21,105.0,8.47,71
1883,2007,3,12,115.69,105.0,6.47,48
1887,1995,3,12,,225.0,36.49,48
1892,1994,3,12,89.33,285.0,10.79,48
1893,1950,3,12,35.01,285.0,10.76,71
1899,1984,3,12,58.01,285.0,12.35,71
1902,1981,3,12,182.58,285.0,10.64,71
1905,1980,3,12,,285.0,10.65,79
1911,1980,3,12,,95.0,6.33,48
1914,1982,3,12,83.76,95.0,6.34,71
1920,1977,3,12,,95.0,9.61,48
1924,1991,3,12,,275.0,12.45,48
1926,1970,3,12,,275.0,21.78,71
1929,1980,3,12,203.03,275.0,12.3,71
1932,1987,3,12,,275.0,12.2,48
1935,1986,3,12,29.54,350.0,31.75,48
1940,1989,3,12,8.61,270.0,56.9,79
1943,1990,6,12,,70.0,8.97,79
1947,1983,3,12,120.72,70.0,6.57,79
1948,1980,3,12,10.56,70.0,6.44,71
1951,1977,3,12,,70.0,6.1,71
1952,1977,3,12,176.86,70.0,14.63,71
1957,1980,3,12,95.06,355.0,6.16,48
1959,1983,3,12,158.71,355.0,13.57,71
1962,1982,3,12,,175.0,10.41,71
1969,1969,3,12,,170.0,10.18,48
1972,1983,3,12,40.26,190.0,105.0,71
1974,1983,3,12,159.85,245.0,83.69,79
1977,1995,3,12,,245.0,46.9,48
1980,1983,3,12,145.17,245.0,39.52,71
1982,1996,3,12,159.51,250.0,37.42,79
1985,1992,3,12,,260.0,107.87,79
1988,1992,3,12,150.54,270.0,83.33,48
1990,1986,3,12,262.17,270.0,42.98,71
1997,1982,3,12,110.17,15.0,10.8,71
1999,1983,3,12,128.94,70.0,26.84,48
2002,1982,3,12,,190.0,6.85,71
2010,1457,3,12,279.85,300.0,34.23,79
2013,2017,3,12,,80.0,65.09,71
2016,1983,3,12,,330.0,9.08,71
2018,1990,6,12,,325.0,9.49,48
2021,1992,3,12,,20.0,18.32,48
2023,1992,3,12,11.49,80.0,7.3,79
2026,1986,3,12,,335.0,9.19,71
2029,1995,6,12,,80.0,7.66,48
2033,1983,6,12,112.93,260.0,10.83,48
2037,1980,6,12,,110.0,10.54,79
2039,1985,3,12,182.82,345.0,6.55,48
2044,1982,3,12,,0.0,6.68,48
2047,1995,3,12,,5.0,6.88,48
2050,1998,3,12,,40.0,26.48,48
2053,1999,3,12,61.41,40.0,6.54,48
2056,1982,3,12,,40.0,6.55,71
2059,1982,3,12,,40.0,6.5,71
2062,2009,3,12,,165.0,6.32,48
2064,1988,3,12,135.51,245.0,6.34,71
2071,1998,3,12,52.57,355.0,10.54,48
2080,1984,3,12,,170.0,13.93,48
2082,1990,3,12,56.58,175.0,6.72,71
2084,1980,3,12,79.63,245.0,22.89,71
2087,1988,3,12,35.78,70.0,47.4,48
2090,1983,3,12,127.1,355.0,6.61,48
2094,1986,3,12,,355.0,9.56,79
2096,2003,3,12,71.63,355.0,6.3,79
