OBJECTID,YearBuilt1,HEIGHT,UseDescription,GrossFloorArea,orientation,street_width,second_type
3380,1998,3,10,,235.0,8.15,73
3383,2021,3,10,94.11,235.0,11.01,73
3388,2008,3,10,142.07,85.0,8.25,73
3392,2000,3,10,104.85,0.0,37.89,73
3395,2020,3,10,124.51,110.0,12.75,73
3413,1980,3,10,85.05,225.0,8.01,73
3431,2008,3,10,110.86,130.0,8.67,73
3440,2004,3,10,119.92,170.0,8.18,73
3443,2008,3,10,54.67,315.0,8.43,73
3447,2003,3,10,46.21,345.0,8.38,73
3450,2001,3,10,64.09,345.0,8.2,73
3453,2000,3,10,104.54,185.0,8.56,73
3457,2021,3,10,87.36,135.0,8.45,73
3461,2011,3,10,65.76,165.0,8.39,73
3464,2003,3,10,55.92,165.0,8.33,73
3468,2017,3,10,63.89,50.0,8.68,73
3473,2006,3,10,56.4,50.0,8.39,73
3475,2015,3,10,45.12,50.0,8.33,73
3478,2006,3,10,14.86,45.0,8.5,73
3482,2006,3,10,14.88,80.0,8.33,73
3485,2004,3,10,14.89,135.0,8.51,73
3488,2004,3,10,15.25,150.0,8.63,73
3491,2004,3,10,,180.0,8.57,73
3494,2004,3,10,,180.0,8.37,73
3497,2004,3,10,15.25,180.0,8.44,73
3499,2004,3,10,67.36,80.0,32.02,73
3501,2004,3,10,56.89,115.0,37.19,73
3503,2004,3,10,57.81,90.0,10.92,73
3506,2017,3,10,59.49,75.0,20.4,73
3508,2002,3,10,,290.0,10.65,73
3511,2000,3,10,135.78,215.0,8.72,73
3513,2005,3,10,32.49,5.0,13.36,73
3515,2007,3,10,137.01,5.0,16.15,73
3521,2011,3,10,137.44,30.0,8.47,73
3534,1985,3,10,24.45,35.0,8.62,73
3538,1999,3,10,38.4,35.0,8.93,73
3542,2002,3,10,,35.0,8.99,73
3546,2004,3,10,,210.0,8.42,73
3559,2002,3,10,,210.0,8.17,73
3562,2022,3,10,37.8,50.0,8.39,73
3564,2005,3,10,,205.0,8.61,73
3572,1980,3,10,,30.0,8.86,73
3574,2015,3,10,25.93,110.0,50.95,73
3579,2021,3,10,82.23,340.0,8.0,73
3585,2019,3,10,41.25,10.0,8.55,73
3589,2015,3,10,69.09,15.0,8.53,73
3593,1998,3,10,97.65,0.0,33.11,73
3612,1980,3,10,,265.0,8.24,73
3618,1980,3,10,58.86,285.0,11.65,73
3628,2004,3,10,52.85,235.0,8.56,73
3635,2012,3,10,147.74,0.0,40.91,73
3638,2010,3,10,96.77,215.0,37.22,73
3642,2002,3,10,11.85,290.0,9.21,73
3644,2002,3,10,55.62,315.0,9.14,73
3654,2006,3,10,,175.0,86.82,73
3663,2000,3,10,,110.0,9.22,73
3667,2013,3,10,67.81,120.0,9.18,73
3671,1979,3,10,77.16,35.0,8.51,73
3678,2006,3,10,93.04,235.0,101.34,73
3683,1987,3,10,110.86,345.0,24.62,67
3689,1980,3,10,,330.0,10.39,67
3694,1980,3,10,,75.0,8.47,73
3697,1980,3,10,,290.0,15.35,67
3699,1987,3,10,68.27,255.0,8.43,67
3701,1987,3,10,,255.0,8.3,73
3706,1985,3,10,25.34,255.0,8.56,73
3710,1987,3,10,123.08,65.0,10.59,67
3712,2000,3,10,151.9,295.0,22.5,73
3716,1980,3,10,,345.0,9.4,67
3719,1987,3,10,,195.0,23.42,73
3726,2000,3,10,99.08,100.0,15.59,73
3729,1980,3,10,126.49,140.0,9.85,73
3734,1980,3,10,,15.0,20.45,67
3741,1980,3,10,,225.0,5.12,73
3744,1985,3,10,56.06,150.0,18.69,67
3748,2002,3,10,73.66,165.0,10.07,73
3750,2012,3,10,76.62,210.0,15.79,73
3754,2008,3,10,146.99,250.0,7.95,73
3758,2004,3,10,130.98,250.0,7.97,73
3763,2006,3,10,30.71,165.0,9.67,73
3766,2002,3,10,82.89,270.0,9.58,73
3769,1985,3,10,,260.0,10.21,67
3771,1980,3,10,66.71,255.0,10.48,67
3775,1960,3,10,,245.0,10.88,67
3777,1980,3,10,,245.0,10.43,73
3779,2020,3,10,73.96,85.0,9.96,73
3784,1985,3,10,,225.0,4.81,67
3788,2012,3,10,54.54,15.0,27.98,73
3792,2006,3,10,191.33,290.0,10.51,73
3796,2003,3,10,26.95,325.0,8.61,73
3804,2002,3,10,150.76,45.0,7.98,73
3817,2009,3,10,50.86,225.0,10.51,73
3822,1980,3,10,55.5,50.0,10.52,73
3826,1980,3,10,,65.0,10.84,73
3830,1980,3,10,21.21,65.0,10.77,73
3841,1980,3,10,,70.0,39.95,73
3843,2006,3,10,66.66,65.0,43.59,73
3848,2008,3,10,75.92,65.0,9.95,73
3867,2006,3,10,150.83,270.0,8.5,73
3873,1980,3,10,17.28,350.0,86.21,73
3876,2003,3,10,65.94,220.0,13.92,73
3880,1998,3,10,73.18,225.0,14.31,73
3884,2004,3,10,75.22,225.0,14.14,73
3886,1993,3,10,43.73,220.0,12.79,73
3888,1980,3,10,23.96,220.0,10.07,73
3892,2004,3,10,81.0,225.0,10.24,73
3895,2001,3,10,73.51,225.0,10.51,73
3916,2006,3,10,86.43,210.0,10.53,73
3920,2012,3,10,114.38,90.0,11.74,73
3931,1980,3,10,,5.0,50.95,73
3945,2004,3,10,170.16,155.0,117.18,73
3952,2003,3,10,39.64,90.0,19.19,73
3957,2018,3,10,472.34,90.0,16.9,73
3978,2003,3,10,210.09,195.0,32.03,73
3980,1994,3,10,103.19,320.0,13.47,73
3989,1998,3,10,99.04,185.0,12.16,73
3994,2002,3,10,116.64,150.0,40.8,73
4011,2004,3,10,19.88,130.0,8.22,73
4019,1999,3,10,14.97,250.0,10.05,73
4034,2009,3,10,,290.0,8.64,73
4044,2006,3,10,,120.0,11.47,73
4046,2004,3,10,,110.0,19.3,73
4048,2008,3,10,141.54,315.0,90.24,73
4053,2023,3,10,,50.0,8.89,73
4059,2009,3,10,139.76,40.0,8.08,73
4062,2009,3,10,177.99,135.0,8.59,73
4065,2002,3,10,104.09,315.0,8.25,73
4070,2001,3,10,79.49,330.0,44.13,73
4074,2017,3,10,53.21,305.0,10.11,73
4077,2010,3,10,108.99,140.0,34.39,73
4079,2006,3,10,,305.0,10.66,73
4084,2000,3,10,,355.0,12.0,73
